bin1_Midline,bin2_Midline,bin3_Midline,bin4_Midline,bin5_Midline,bin6_Midline,bin7_Midline,bin8_Midline,ERPset
7.851,6.108,8.186,6.305,5.897,4.585,-3.266,-1.523,5_SML_diff
4.363,4.078,5.735,5.436,3.943,5.357,0.993,1.278,10_SML_diff
2.956,2.900,1.759,4.515,1.874,3.077,0.121,0.177,12_SML_diff
2.915,2.077,4.384,3.924,4.940,2.571,-0.344,0.494,21_SML_diff
3.700,6.754,5.537,5.146,7.116,6.969,3.269,0.216,25_SML_diff
2.834,6.801,5.304,5.345,4.921,6.756,3.922,-0.045,26_SML_diff
4.178,4.297,5.083,3.989,3.808,5.616,1.438,1.319,30_SML_diff
2.323,4.016,3.841,6.323,5.611,6.426,4.104,2.411,31_SML_diff
